DateTimeUTC,BsR_S12,BbsR_S12,BaCorr2_A13,SSA_700,D3,D24,D27,V_D15,V_D24,Nfrac_coarse
2017-01-05 18:00:00,2.06,0.41,0.51,0.866206323,221.8084085,0.807354121,0.125928936,0.812931834,0.688746141,0.002572285
2017-01-05 19:00:00,1.58,0.29,0.53,0.827623967,268.5478114,0.738163531,0.138690194,0.73637865,0.605047709,0.002918141
2017-01-05 20:00:00,1.8,0.25,0.5,0.853519882,225.2695552,0.436466768,0.102817465,0.813608022,0.364424902,0.002023879
2017-01-05 21:00:00,0.99,0.08,0.22,0.88305153,142.370365,0.761796891,0.08299043,0.334550101,0.659098551,0.003573038
2017-01-05 22:00:00,0.58,-0.01,0.16,0.823905837,132.9078912,0.357702144,0.041866898,0.111013905,0.290698269,0.005595486
2017-01-05 23:00:00,1.07,0.16,0.13,0.93386541,74.14832865,0.360138577,0.196122507,0.178043958,0.30435231,0.004759029
2017-01-06 00:00:00,1.0,0.16,0.16,0.896979247,98.79483078,0.380804063,0.124692336,0.165075936,0.324057473,0.004997735
2017-01-06 01:00:00,1.23,0.15,0.17,0.908383677,92.40313581,0.58226528,0.11084036,0.28072407,0.50046211,0.004534842
2017-01-06 02:00:00,1.16,0.07,0.19,0.897050334,72.1109236,0.478672171,0.202866126,0.278231443,0.399738338,0.004281267
2017-01-06 03:00:00,0.77,0.13,0.1,0.920210061,90.77543077,0.434748353,0.176678685,0.119469748,0.37200731,0.004766321
2017-01-06 04:00:00,0.65,0.12,0.12,0.882285212,77.04571007,0.429183805,0.123056268,0.158977202,0.37411436,0.005042573
2017-01-06 05:00:00,0.73,0.05,0.08,0.927321052,90.67947983,0.331191856,0.228887675,0.176370226,0.275451188,0.00423578
2017-01-06 06:00:00,0.81,0.21,0.12,0.904827632,65.16886657,0.382308472,0.125603466,0.135241346,0.329078442,0.003706336
2017-01-06 07:00:00,0.67,0.16,0.11,0.89797569,66.26976208,0.376761316,0.140472487,0.17699518,0.317815036,0.003350187
2017-01-06 08:00:00,0.61,0.1,0.14,0.853080201,109.3470194,0.272943777,0.159336063,0.175049501,0.231158733,0.002620445
2017-01-06 09:00:00,0.77,-0.02,0.14,0.89156931,156.7391281,0.3072219,0.171702044,0.237865019,0.264032483,0.001869382
2017-01-06 10:00:00,0.82,0.17,0.2,0.85409717,186.9834255,0.231984304,0.194178878,0.258134418,0.190697177,0.001180897
2017-01-06 11:00:00,0.78,0.03,0.16,0.883768222,258.361992,0.283393416,0.163251072,0.226130543,0.237004258,0.001273627
2017-01-06 12:00:00,1.07,0.12,0.27,0.885957874,408.8897828,0.552435427,0.09666433,0.28833028,0.475293251,0.001004826
2017-01-06 13:00:00,0.83,-0.01,0.15,0.889228607,160.146313,0.326049538,0.118147332,0.086442629,0.274731748,0.002160938
2017-01-06 14:00:00,0.75,0.15,0.1,0.930771373,178.7111305,0.492168007,0.127525831,0.036387889,0.418189268,0.003988939
2017-01-06 15:00:00,0.52,0.07,0.13,0.831082431,103.7181942,0.347210515,0.22142675,0.076920571,0.290743449,0.004835692
2017-01-06 16:00:00,0.76,0.08,0.12,0.898770974,72.2330634,0.303668306,0.16240483,0.136721139,0.2452608,0.004356158
2017-01-06 17:00:00,0.83,0.16,0.16,0.869581475,61.65783952,0.520524596,0.360569206,0.185296085,0.44568345,0.005344416
2017-01-06 18:00:00,1.06,0.12,0.13,0.925700537,79.62203635,0.591756124,0.317844493,0.163539705,0.50355839,0.00595167
2017-01-06 19:00:00,0.89,-0.05,-0.07,0.861590696,88.13588887,0.444788318,0.260068283,0.052745438,0.375938196,0.005541456
2017-01-06 20:00:00,0.66,0.03,-0.14,1.165576244,104.181995,0.407982057,0.382268679,0.138301414,0.347317241,0.005773263
2017-01-06 21:00:00,0.7,0.0,-0.04,0.854334751,78.80384218,0.744356655,0.263205561,0.141592442,0.638826196,0.005451163
2017-01-06 22:00:00,3.028028815,0.315082654,0.580499966,0.796735292,73.4307374,0.446419303,0.243708887,0.141077307,0.37586051,0.00485115
2017-01-06 23:00:00,0.95,0.16,0.12,0.916683951,78.4934358,0.51246093,0.220531835,0.123430848,0.437047099,0.004878465
2017-01-07 00:00:00,0.96,0.06,0.12,0.909270091,88.04469337,0.328517652,0.415931287,0.146577695,0.276952919,0.004651487
2017-01-07 01:00:00,0.75,0.28,0.1,0.918570258,92.47512043,0.49003278,0.249590543,0.213828461,0.413161274,0.005284268
2017-01-07 02:00:00,0.84,0.18,0.11,0.916863006,76.27219152,0.31839624,0.307178379,0.149900537,0.265380762,0.004591266
2017-01-07 03:00:00,0.76,0.07,0.1,0.931300299,94.64054086,0.446486646,0.202796043,0.171152029,0.375583025,0.00432546
2017-01-07 04:00:00,0.98,0.08,0.16,0.896048248,87.11314615,0.529172749,0.269614176,0.203242172,0.446914495,0.004373161
2017-01-07 05:00:00,1.09,0.17,0.17,0.905163541,91.75611645,0.843658662,0.293958463,0.242020058,0.733777507,0.005227498
2017-01-07 06:00:00,0.76,0.11,0.23,0.82421127,90.98816314,0.614521526,0.463553851,0.221965093,0.519346452,0.005988336
2017-01-07 07:00:00,0.94,0.15,0.18,0.88351164,92.21779814,0.482805197,0.373807666,0.308705366,0.401650488,0.004298706
2017-01-07 08:00:00,0.96,0.23,0.2,0.862350734,82.22406976,0.625598002,0.461412612,0.350628515,0.527035041,0.004893803
2017-01-07 09:00:00,1.81,0.25,0.25,0.913378754,153.0824088,0.695435858,0.391071147,0.745114537,0.585214797,0.003049002
2017-01-07 10:00:00,1.2,0.18,0.21,0.873356969,82.78716418,0.666289445,0.324483839,0.582544696,0.565213751,0.00359552
2017-01-07 11:00:00,1.21,0.2,0.19,0.893764554,102.9900754,0.822937719,0.474288784,0.405955906,0.702175736,0.005159728
2017-01-07 12:00:00,0.48,0.05,0.12,0.846559437,42.87775676,0.80115193,0.456179148,0.217813111,0.682146957,0.009308132
2017-01-07 13:00:00,0.43,-0.02,0.07,0.881594316,125.114352,0.659038171,0.288189124,0.119377365,0.56404365,0.008290042
2017-01-07 14:00:00,0.32,-0.01,0.03,0.94515994,69.84772573,0.356137624,0.238680656,0.048427199,0.301164107,0.006383893
2017-01-07 15:00:00,0.08,0.11,0.08,0.633340787,114.1198138,0.155663956,0.122207529,0.03043313,0.135727306,0.003356583
2017-01-07 17:00:00,0.07,0.06,0.03,0.705858469,39.79383183,0.03916432,0.022633027,0.01238354,0.03115646,0.003276956
2017-01-07 19:00:00,0.15,-0.03,0.01,0.93662935,32.66753953,0.01508552,0.084062039,0.043255362,0.01104774,0.001483682
2017-01-07 20:00:00,0.08,0.0,0.04,0.736540804,33.08917984,0.078573087,0.071122705,0.015683345,0.067356883,0.003366271
2017-01-07 21:00:00,0.09,0.04,0.0,0.841539549,71.29534801,0.019796177,0.026622033,0.023214607,0.017815505,0.001177753
2017-01-07 23:00:00,0.1,0.11,0.06,0.676068887,24.95227427,0.075146629,0.050652233,0.00986482,0.065859891,0.003113813
2017-01-08 00:00:00,0.12,0.01,-0.01,0.851613562,56.11455889,0.035599119,0.03663517,0.025844735,0.026914995,0.001606392
2017-01-08 01:00:00,0.31,0.11,0.08,0.819497965,74.45763263,0.100759465,0.026938799,0.024722082,0.086200686,0.001856155
2017-01-08 02:00:00,0.23,0.07,0.06,0.826424564,75.94600266,0.076170369,0.038641533,0.02652307,0.063038367,0.002277349
2017-01-08 03:00:00,0.09,-0.01,0.05,0.601978204,64.40647851,0.019532731,0.025464316,0.023419707,0.015372184,0.001908241
2017-01-08 04:00:00,0.13,0.13,-0.02,0.835478412,68.73862864,0.142501053,0.085804121,0.003837976,0.122617415,0.003245736
2017-01-08 05:00:00,0.14,0.03,0.03,0.845255297,82.5406443,0.124918815,0.051570962,0.015194774,0.106406212,0.002530128
2017-01-08 06:00:00,0.28,0.14,0.0,0.84099083,103.4505689,0.054025848,0.061268439,0.034523274,0.046529654,0.001368706
2017-01-08 07:00:00,0.34,0.07,0.03,0.852354527,322.6028255,0.146901092,0.019398863,0.092448979,0.125700895,0.000454107
2017-01-08 08:00:00,0.67,0.04,0.15,0.844335485,128.6800828,0.073657436,0.032249409,0.282215184,0.06231393,0.000443891
2017-01-08 09:00:00,0.68,0.11,0.15,0.866126818,116.7327531,0.179900368,0.056556007,0.210067417,0.153307754,0.001257436
2017-01-08 10:00:00,0.64,0.17,0.12,0.881891046,88.72436234,0.344640125,0.161859385,0.203719378,0.298195556,0.002896069
2017-01-08 11:00:00,0.46,0.04,0.09,0.890465052,75.28604403,0.297758947,0.094411286,0.176299409,0.253889944,0.002403574
2017-01-08 12:00:00,0.92,0.17,0.17,0.901469228,345.2492242,0.227113116,0.129154301,0.162551496,0.190789899,0.000643988
2017-01-08 13:00:00,0.38,0.12,0.01,1.025444539,107.8483287,0.143488758,0.085520375,0.073661358,0.126195116,0.001166056
2017-01-08 14:00:00,0.56,0.19,-0.01,1.058906732,100.0958475,0.192529398,0.064502603,0.09115288,0.166698474,0.001897347
2017-01-08 15:00:00,0.2,0.14,0.04,0.880798883,57.56936604,0.113911399,0.057111762,0.055781956,0.090732491,0.002584979
2017-01-08 16:00:00,0.22,-0.03,0.02,0.959423408,27.4890764,0.117279473,0.027937516,0.053787028,0.099984336,0.002817692
2017-01-08 17:00:00,0.4,0.07,0.05,0.893031199,38.68938673,0.157563701,0.003234164,0.094538275,0.136998814,0.001619393
2017-01-08 18:00:00,0.47,-0.08,0.08,0.8922687,122.9643003,0.086892717,0.025781081,0.088454993,0.071696085,0.001272159
2017-01-08 19:00:00,0.27,0.11,0.06,0.876115132,88.44197134,0.170382145,0.135378626,0.111383276,0.141179994,0.001891058
2017-01-08 20:00:00,0.52,0.03,0.02,0.981613665,98.12973845,0.192342629,0.107534911,0.06403667,0.165084976,0.00199114
2017-01-08 21:00:00,0.38,0.11,0.03,0.928709288,137.0313403,0.176712551,0.090521568,0.081669825,0.14749849,0.001715035
2017-01-08 22:00:00,0.21,0.14,0.05,0.815069799,141.4159716,0.193722621,0.063351006,0.103453888,0.166573332,0.001174503
2017-01-08 23:00:00,0.14,-0.04,0.02,0.855213596,161.9295316,0.109394904,0.044784296,0.102549799,0.0975078,0.000941366
2017-01-09 00:00:00,0.28,0.14,0.04,0.875050612,168.8508615,0.084313069,0.134148146,0.09591238,0.06905235,0.001079623
2017-01-09 01:00:00,0.27,0.09,0.02,0.964800842,202.7230531,0.158449667,0.017004545,0.098620514,0.140002371,0.000742953
2017-01-09 02:00:00,0.31,0.04,0.04,0.912120907,208.0359066,0.08211343,0.03663517,0.081859245,0.072014138,0.000566457
2017-01-09 03:00:00,0.08,0.08,0.05,0.624449916,233.4016019,0.03244948,0.004771383,0.042686678,0.024358254,0.000456652
2017-01-09 04:00:00,0.13,0.04,0.04,0.814925005,204.8842175,0.07411537,0.012697666,0.068948049,0.060842937,0.000476941
2017-01-09 05:00:00,0.42,0.05,0.06,0.877639985,192.8774464,0.078677988,0.06533365,0.075070334,0.064856929,0.000517384
2017-01-09 06:00:00,0.45,0.13,0.02,0.978722631,249.1017231,0.034590694,0.013770381,0.082989475,0.028650925,0.000417298
2017-01-09 07:00:00,0.16,-0.05,0.05,0.766384708,262.7763263,0.03398282,0.070882143,0.050009622,0.028103872,0.000493174
2017-01-09 08:00:00,0.17,0.06,0.02,0.844773777,299.6936249,0.084514138,0.0,0.068513978,0.075231938,0.000499988
2017-01-09 09:00:00,0.74,0.1,0.17,0.879901885,314.5978809,0.09336135,0.053877598,0.172811384,0.081541854,0.000278318
2017-01-09 10:00:00,0.17,0.08,0.05,0.818337169,164.266644,0.084723273,0.002076446,0.170961147,0.071330806,0.00068391
2017-01-09 11:00:00,0.7,-0.02,0.1,0.938836163,215.6234491,0.017921981,0.02586107,0.111733227,0.013212278,0.000359839
2017-01-09 12:00:00,0.73,0.12,0.17,0.909953727,323.1260854,0.092146542,0.0,0.249272185,0.078192322,0.000277248
2017-01-09 13:00:00,0.81,0.15,0.13,0.937562441,372.3111127,0.052165608,0.038632734,0.153445,0.044855537,0.000562356
